82	N????????F~`~{~{^}?	41	13	1	1984
89	N????????N_}}B~{^}?	37	11	5	4111,4119,4123,4125,4126
107	N???????C?O?~{^~N~_	34	11	36	3079,3083,3091,3107,3139,3203,3331,3587,3085,3093,3109,3141,3205,3333,3589,3097,3113,3145,3209,3337,3593,3121,3153,3217,3345,3601,3169,3233,3361,3617,3265,3393,3649,3457,3713,3841
108	N???????CFn`~{~{^}?	41	14	10	1473,1729,1857,1921,2078,2094,2102,2106,2108,1984
111	N???????E?F~N}N}^}?	39	13	36	1039,1047,1063,1095,1159,1287,1543,17415,1051,1067,1099,1163,1291,1547,17419,1075,1107,1171,1299,1555,17427,1123,1187,1315,1571,17443,1219,1347,1603,17475,1411,1667,17539,1795,17667,17923
112	N???????E?F~N}~{^}?	40	14	44	1039,1047,1063,1095,1159,1287,1543,9223,17415,1051,1067,1099,1163,1291,1547,9227,17419,1075,1107,1171,1299,1555,9235,17427,1123,1187,1315,1571,9251,17443,1219,1347,1603,9283,17475,1411,1667,9347,17539,1795,9475,17667,9731,17923
120	N???????F?B~F}~{^}?	39	12	9	1039,1047,1063,1095,1159,1287,1543,9223,17415
131	N???????Fo^?@~@~^}?	34	11	40	1039,2063,1047,2071,3079,1051,2075,3083,3091,1053,2077,3085,3093,3097,1054,2078,3086,3094,3098,3100,4576,8672,4832,8928,12512,4960,9056,12640,12896,5024,9120,12704,12960,13088,5056,9152,12736,12992,13120,13184
132	N???????F~~}~{~{^}?	50	22	1050	1039,2063,4111,8207,16399,1047,2071,4119,8215,16407,1063,2087,4135,8231,16423,1095,2119,4167,8263,16455,1159,2183,4231,8327,16519,1287,2311,4359,8455,16647,1543,2567,4615,8711,16903,1051,2075,4123,8219,16411,1067,2091,4139,8235,16427,1099,2123,4171,8267,16459,1163,2187,4235,8331,16523,1291,2315,4363,8459,16651,1547,2571,4619,8715,16907,1075,2099,4147,8243,16435,1107,2131,4179,8275,16467,1171,2195,4243,8339,16531,1299,2323,4371,8467,16659,1555,2579,4627,8723,16915,1123,2147,4195,8291,16483,1187,2211,4259,8355,16547,1315,2339,4387,8483,16675,1571,2595,4643,8739,16931,1219,2243,4291,8387,16579,1347,2371,4419,8515,16707,1603,2627,4675,8771,16963,1411,2435,4483,8579,16771,1667,2691,4739,8835,17027,1795,2819,4867,8963,17155,1053,2077,4125,8221,16413,1069,2093,4141,8237,16429,1101,2125,4173,8269,16461,1165,2189,4237,8333,16525,1293,2317,4365,8461,16653,1549,2573,4621,8717,16909,1077,2101,4149,8245,16437,1109,2133,4181,8277,16469,1173,2197,4245,8341,16533,1301,2325,4373,8469,16661,1557,2581,4629,8725,16917,1125,2149,4197,8293,16485,1189,2213,4261,8357,16549,1317,2341,4389,8485,16677,1573,2597,4645,8741,16933,1221,2245,4293,8389,16581,1349,2373,4421,8517,16709,1605,2629,4677,8773,16965,1413,2437,4485,8581,16773,1669,2693,4741,8837,17029,1797,2821,4869,8965,17157,1081,2105,4153,8249,16441,1113,2137,4185,8281,16473,1177,2201,4249,8345,16537,1305,2329,4377,8473,16665,1561,2585,4633,8729,16921,1129,2153,4201,8297,16489,1193,2217,4265,8361,16553,1321,2345,4393,8489,16681,1577,2601,4649,8745,16937,1225,2249,4297,8393,16585,1353,2377,4425,8521,16713,1609,2633,4681,8777,16969,1417,2441,4489,8585,16777,1673,2697,4745,8841,17033,1801,2825,4873,8969,17161,1137,2161,4209,8305,16497,1201,2225,4273,8369,16561,1329,2353,4401,8497,16689,1585,2609,4657,8753,16945,1233,2257,4305,8401,16593,1361,2385,4433,8529,16721,1617,2641,4689,8785,16977,1425,2449,4497,8593,16785,1681,2705,4753,8849,17041,1809,2833,4881,8977,17169,1249,2273,4321,8417,16609,1377,2401,4449,8545,16737,1633,2657,4705,8801,16993,1441,2465,4513,8609,16801,1697,2721,4769,8865,17057,1825,2849,4897,8993,17185,1473,2497,4545,8641,16833,1729,2753,4801,8897,17089,1857,2881,4929,9025,17217,1921,2945,4993,9089,17281,1054,2078,4126,8222,16414,1070,2094,4142,8238,16430,1102,2126,4174,8270,16462,1166,2190,4238,8334,16526,1294,2318,4366,8462,16654,1550,2574,4622,8718,16910,1078,2102,4150,8246,16438,1110,2134,4182,8278,16470,1174,2198,4246,8342,16534,1302,2326,4374,8470,16662,1558,2582,4630,8726,16918,1126,2150,4198,8294,16486,1190,2214,4262,8358,16550,1318,2342,4390,8486,16678,1574,2598,4646,8742,16934,1222,2246,4294,8390,16582,1350,2374,4422,8518,16710,1606,2630,4678,8774,16966,1414,2438,4486,8582,16774,1670,2694,4742,8838,17030,1798,2822,4870,8966,17158,1082,2106,4154,8250,16442,1114,2138,4186,8282,16474,1178,2202,4250,8346,16538,1306,2330,4378,8474,16666,1562,2586,4634,8730,16922,1130,2154,4202,8298,16490,1194,2218,4266,8362,16554,1322,2346,4394,8490,16682,1578,2602,4650,8746,16938,1226,2250,4298,8394,16586,1354,2378,4426,8522,16714,1610,2634,4682,8778,16970,1418,2442,4490,8586,16778,1674,2698,4746,8842,17034,1802,2826,4874,8970,17162,1138,2162,4210,8306,16498,1202,2226,4274,8370,16562,1330,2354,4402,8498,16690,1586,2610,4658,8754,16946,1234,2258,4306,8402,16594,1362,2386,4434,8530,16722,1618,2642,4690,8786,16978,1426,2450,4498,8594,16786,1682,2706,4754,8850,17042,1810,2834,4882,8978,17170,1250,2274,4322,8418,16610,1378,2402,4450,8546,16738,1634,2658,4706,8802,16994,1442,2466,4514,8610,16802,1698,2722,4770,8866,17058,1826,2850,4898,8994,17186,1474,2498,4546,8642,16834,1730,2754,4802,8898,17090,1858,2882,4930,9026,17218,1922,2946,4994,9090,17282,1084,2108,4156,8252,16444,1116,2140,4188,8284,16476,1180,2204,4252,8348,16540,1308,2332,4380,8476,16668,1564,2588,4636,8732,16924,1132,2156,4204,8300,16492,1196,2220,4268,8364,16556,1324,2348,4396,8492,16684,1580,2604,4652,8748,16940,1228,2252,4300,8396,16588,1356,2380,4428,8524,16716,1612,2636,4684,8780,16972,1420,2444,4492,8588,16780,1676,2700,4748,8844,17036,1804,2828,4876,8972,17164,1140,2164,4212,8308,16500,1204,2228,4276,8372,16564,1332,2356,4404,8500,16692,1588,2612,4660,8756,16948,1236,2260,4308,8404,16596,1364,2388,4436,8532,16724,1620,2644,4692,8788,16980,1428,2452,4500,8596,16788,1684,2708,4756,8852,17044,1812,2836,4884,8980,17172,1252,2276,4324,8420,16612,1380,2404,4452,8548,16740,1636,2660,4708,8804,16996,1444,2468,4516,8612,16804,1700,2724,4772,8868,17060,1828,2852,4900,8996,17188,1476,2500,4548,8644,16836,1732,2756,4804,8900,17092,1860,2884,4932,9028,17220,1924,2948,4996,9092,17284,1144,2168,4216,8312,16504,1208,2232,4280,8376,16568,1336,2360,4408,8504,16696,1592,2616,4664,8760,16952,1240,2264,4312,8408,16600,1368,2392,4440,8536,16728,1624,2648,4696,8792,16984,1432,2456,4504,8600,16792,1688,2712,4760,8856,17048,1816,2840,4888,8984,17176,1256,2280,4328,8424,16616,1384,2408,4456,8552,16744,1640,2664,4712,8808,17000,1448,2472,4520,8616,16808,1704,2728,4776,8872,17064,1832,2856,4904,9000,17192,1480,2504,4552,8648,16840,1736,2760,4808,8904,17096,1864,2888,4936,9032,17224,1928,2952,5000,9096,17288,1264,2288,4336,8432,16624,1392,2416,4464,8560,16752,1648,2672,4720,8816,17008,1456,2480,4528,8624,16816,1712,2736,4784,8880,17072,1840,2864,4912,9008,17200,1488,2512,4560,8656,16848,1744,2768,4816,8912,17104,1872,2896,4944,9040,17232,1936,2960,5008,9104,17296,1504,2528,4576,8672,16864,1760,2784,4832,8928,17120,1888,2912,4960,9056,17248,1952,2976,5024,9120,17312,1984,3008,5056,9152,17344
184	N???????xww\~C~w^{?	39	11	1	3008
186	N???????}?~aNyNy^{?	38	11	1	3587
207	N??????@wN?{}F}F^{?	37	12	22	4111,8207,4119,8215,4123,8219,4125,8221,4126,8222,1760,2784,3296,1888,2912,3424,1952,2976,3488,1984,3008,3520
211	N??????@wN^B}E~w^{?	40	12	4	1760,1888,1952,1984
225	N??????B?^@{{F{{^{?	36	11	1	4111
228	N??????B_^@{{F{[^{?	36	11	8	4111,8207,12295,12299,12301,12302,1648,2672
230	N??????BwN?{}B{F^{?	36	11	10	4111,8207,4119,12295,4123,12299,4125,12301,4126,12302
232	N??????Bw^@{{F{F^{?	38	11	6	4111,8207,12295,12299,12301,12302
233	N??????Bw^@{{F~w^{?	40	11	1	4111
234	N??????Bw^]B~w~w^{?	43	14	1	2063
237	N??????CW[}Lzc~w^{?	39	12	2	2952,5232
242	N??????EF?b|Fyx{^{?	37	11	2	1543,9223
254	N??????F~NN{^w~w^{?	47	17	2	9223,17415
258	N??????KE?x}NyNy^{?	38	11	3	1543,1547,3587
263	N??????NEFf{vw~w^{?	43	14	3	2588,2604,2612
264	N??????N|~N{zwvw^{?	48	18	7	20487,24587,12307,12323,12355,12419,12547
275	N??????_C?^{^}^}N~?	41	15	52	1543,1547,1555,1571,1603,1667,1795,5635,9731,17923,1549,1557,1573,1605,1669,1797,5637,9733,17925,1561,1577,1609,1673,1801,5641,9737,17929,1585,1617,1681,1809,5649,9745,17937,1633,1697,1825,5665,9761,17953,1729,1857,5697,9793,17985,1921,5761,9857,18049,5889,9985,18177
276	N??????_E?F~N}^{^{?	39	12	7	1543,1547,1555,1571,1603,1667,1795
287	N??????e{~M{Zw~w^{?	45	15	2	1561,6182
288	N??????fz~N{nwzw^{?	48	18	7	24583,4633,4649,4681,4745,4873,3086
294	N??????o?N_}}BN{^{?	36	11	8	4111,4119,4615,4123,4619,4627,4125,4126
296	N??????o?N~@N{N{^{?	38	11	4	2567,2571,2579,3587
299	N??????o@~f}N{N{^{?	43	14	7	16903,16907,16915,16931,16963,17027,17155
300	N??????o@~f}N{~w^{?	44	15	14	8711,16903,8715,16907,8723,16915,8739,16931,8771,16963,8835,17027,8963,17155
303	N??????oBbD}F{N{^{?	38	11	2	1543,1547
305	N??????oE?F~N}N}^{?	40	12	7	1543,1547,1555,1571,1603,1667,1795
311	N??????o|wG\ND~w^{?	39	12	8	2754,2882,2946,5148,5164,5172,5176,3008
313	N??????u@Nf{vw~w^{?	43	14	2	4619,4627
